# 監視リスト（このファイルを編集するだけで対象銘柄が変わります）
# 形式: コード,銘柄名,区分,株数,取得単価
#   区分 = 保有 / 候補 / 監視
#   保有のみ「株数」「取得単価(円換算)」を記入。候補/監視は空欄でOK
#   行頭「#」はコメント。連続増配などの注記は銘柄名に「★」付きで残せます
# --- 保有株 ---
8591.T,オリックス,保有,5,1442
9434.T,ソフトバンク,保有,10,130
8411.T,みずほFG,保有,5,1360
2914.T,JT,保有,1,2139
8002.T,丸紅,保有,3,740
8001.T,伊藤忠商事,保有,5,651
9904.T,ベリテ,保有,10,394
3315.T,日本コークス,保有,50,110
8173.T,Joshin,保有,3,2270
4502.T,武田薬品,保有,18,3471
1835.T,東鉄工業,保有,12,2243
8697.T,JPX,保有,200,936
6301.T,コマツ,保有,15,2916
9432.T,NTT,保有,225,158
VOO,VOO(S&P500ETF),保有,1,56141
SPYD,SPYD(高配当ETF),保有,5,6361
# --- 新規購入検討（候補）---
4246.T,ダイキョーニシカワ,候補
8892.T,エスコン,候補
8923.T,トーセイ,候補
9252.T,ラストワンマイル,候補
8061.T,西華産業,候補
8316.T,三井住友FG,候補
9503.T,関西電力,候補
1489.T,日経高配当50ETF,候補
# --- 監視中 ---
1605.T,INPEX,監視
3003.T,ヒューリック,監視
3543.T,コメダHD,監視
4063.T,信越化学工業,監視
4452.T,花王 ★34年連続増配,監視
8031.T,三井物産,監視
8058.T,三菱商事,監視
8306.T,三菱UFJFG,監視
8766.T,東京海上HD,監視
8593.T,三菱HCキャピタル ★連続増配,監視
9433.T,KDDI ★23年連続増配,監視
9436.T,沖縄セルラー電話 ★連続増配,監視
7466.T,SPK ★連続増配,監視
